"","a","b","c","classificacoes",,
"291",0.461895442811359,0.233202877942549,0.268047101484904,1,66,
"292",0.44793113918002,0.230134841501382,0.0784219494035384,3,67,
"293",0.438012113481599,0.242461355971975,0.173601746215318,3,68,
"294",0.454758613682547,0.23403729185749,0.161479670052939,3,69,
"295",0.454679856145572,0.234208154269426,0.206821524508907,1,70,
"296",0.453340006652031,0.234179899819609,0.193051945076272,3,71,
"297",0.432896851776899,0.216430076699184,0.140226628592259,3,72,
"298",0.44275001855021,0.234953537303449,0.220627817031694,1,73,
"299",0.457256669622806,0.234037668259966,0.329955168415206,1,74,
"300",0.461522334029149,0.235675211456666,0.175243817715507,3,75,
"301",0.435068350610383,0.213535291550896,0.0135332985099001,3,76,
"302",0.442194628900592,0.234342084784859,0.226586108069742,1,77,
"303",0.458924422486115,0.233629538223253,0.165031937122304,3,78,
"304",0.439532292404661,0.236548820199208,0.0269331420632516,3,79,
"305",0.463869863612881,0.235961095652541,0.146510939163657,3,80,
"306",0.447851532310742,0.235646629039987,0.187707107764753,3,81,
"307",0.446727529120225,0.233136884248533,0.155473526519808,3,82,
"308",0.442858944108245,0.237469981039885,0.186107942943886,3,83,
"309",0.450812240051795,0.235477976108495,0.245005034828534,1,84,
"310",0.445419054973458,0.232869756538048,0.264816121518563,1,85,
"311",0.445325762616147,0.236253002869742,0.23378031203668,1,86,
"312",0.443528820033987,0.234209433806903,0.15129920632972,3,87,
"313",0.444446756095191,0.235416134587086,0.204080324264209,1,88,
"314",0.436182740276692,0.173402374211692,0.142401473209518,3,89,
"315",0.436828695613341,0.352496236367664,0.14732392694173,3,90,2009
